AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,MIN_Diff,Max_DIFF,Mean_Diff,AVG_DIFF,STD_DEV,MEDIAN,RMSE,MAE,N,D_ABS_MED
la_palma,,dtm-2m_reinterpolated_1sec_point,xxx,9999.00,-17.76,45.61,-0.07,1.41,3.55,-0.33,3.54,1.43,548,0.69
la_palma,,dtm-2m_reinterpolated_1sec_area,xxx,9999.00,-15.95,44.74,-0.01,1.44,3.52,-0.28,3.52,1.44,547,0.68
la_palma,,dsm_5m_point,xxx,9999.00,-12.55,49.11,0.70,2.05,3.68,-0.22,3.75,1.89,546,1.17
la_palma,,dsm_5m_area,xxx,9999.00,-5.67,47.49,0.77,2.10,3.73,-0.23,3.80,1.91,545,1.17
la_palma,,COP,xxx,9999.00,-12.14,50.56,1.55,3.13,5.88,-0.22,6.08,2.63,549,1.02
la_palma,,SRTM_egm2008,xxx,9999.00,-3.36,67.76,6.20,5.45,7.79,2.69,9.95,6.29,549,2.73
la_palma,,ALOS_egm2008,xxx,9999.00,-2.05,53.21,4.79,4.37,5.91,2.25,7.60,4.91,549,2.25
la_palma,,NASA_egm2008,xxx,9999.00,-3.07,94.27,4.84,4.32,7.38,2.40,8.82,4.95,549,2.43
la_palma,,ASTER_egm2008,xxx,9999.00,-55.93,80.30,3.01,3.44,7.42,1.82,8.00,3.87,549,1.91
la_palma,,FABDEM,xxx,9999.00,-6.21,60.37,0.93,2.60,6.32,-0.37,6.38,2.22,549,0.94
