AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,DIFF_MIN,DIFF_Max,DIFF_Mean,DIFF_STDEV,DIFF_SKEW,DIFF_KURT,DIFF_MED,N
la_palma,N28UW018B,COP,md_dtm-2m_1sec_point,DTM,87.18,-355.86,-480.30,-604.81,35.33,0.17,-0.06,-623.68,141917
la_palma,N28VW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,-357.56,-381.07,-647.11,-31.73,0.13,0.22,-625.21,184000
la_palma,N28XW018A,COP,md_dtm-2m_1sec_point,DTM,91.08,-356.88,0.19,-344.86,104.94,0.16,0.06,-343.15,323632
la_palma,N28XW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,-356.88,0.19,-318.02,141.37,0.08,-0.07,-310.49,205458
la_palma,N28UW018B,COP,md_dtm-2m_1sec_point,DSM,87.18,-355.86,-480.30,-604.81,35.33,0.17,-0.06,-623.68,141917
la_palma,N28VW018B,COP,md_dtm-2m_1sec_point,DSM,100.00,-357.56,-381.07,-647.11,-31.73,0.13,0.22,-625.21,184000
la_palma,N28XW018A,COP,md_dtm-2m_1sec_point,DSM,91.08,-356.88,0.19,-344.86,104.94,0.16,0.06,-343.15,323632
la_palma,N28XW018B,COP,md_dtm-2m_1sec_point,DSM,100.00,-356.88,0.19,-318.02,141.37,0.08,-0.07,-310.49,205458
la_palma,N28UW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-359.50,-484.27,-974.11,103.06,0.82,0.26,-1221.73,253061
la_palma,N28VW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-366.37,-378.20,-862.22,53.47,0.34,-0.13,-874.59,253058
la_palma,N28XW018A,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-363.06,10.49,-509.67,198.22,0.13,-0.11,-479.44,383021
la_palma,N28XW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-360.79,10.49,-525.10,242.51,0.17,-0.25,-504.41,253061
la_palma,N28UW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-359.50,-484.27,-974.11,103.06,0.82,0.26,-1221.73,253061
la_palma,N28VW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-366.37,-378.20,-862.22,53.47,0.34,-0.13,-874.59,253058
la_palma,N28XW018A,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-363.06,10.49,-509.67,198.22,0.13,-0.11,-479.44,383021
la_palma,N28XW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-360.79,10.49,-525.10,242.51,0.17,-0.25,-504.41,253061
la_palma,N28UW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,87.18,-362.42,-478.35,-974.96,102.06,0.82,0.26,-1223.65,253061
la_palma,N28VW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,100.00,-354.88,-381.29,-862.25,52.58,0.34,-0.13,-874.29,253061
la_palma,N28XW018A,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,91.08,-361.80,8.40,-511.73,197.39,0.13,-0.11,-482.21,383021
la_palma,N28XW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,100.00,-361.80,8.40,-526.06,241.26,0.17,-0.25,-506.15,253061
la_palma,N28UW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,87.18,-362.42,-478.35,-974.96,102.06,0.82,0.26,-1223.65,253061
la_palma,N28VW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,100.00,-354.88,-381.29,-862.25,52.58,0.34,-0.13,-874.29,253061
la_palma,N28XW018A,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,91.08,-361.80,8.40,-511.73,197.39,0.13,-0.11,-482.21,383021
la_palma,N28XW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,100.00,-361.80,8.40,-526.06,241.26,0.17,-0.25,-506.15,253061
la_palma,N28UW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-358.45,-490.27,-975.10,102.33,0.82,0.26,-1223.04,253061
la_palma,N28VW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-370.34,-382.20,-863.41,52.81,0.35,-0.13,-876.64,253060
la_palma,N28XW018A,NASA_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-394.79,-2.51,-511.70,197.90,0.13,-0.11,-481.60,383021
la_palma,N28XW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-394.79,-2.51,-526.36,242.03,0.17,-0.25,-506.37,253061
la_palma,N28UW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-358.45,-490.27,-975.10,102.33,0.82,0.26,-1223.04,253061
la_palma,N28VW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-370.34,-382.20,-863.41,52.81,0.35,-0.13,-876.64,253060
la_palma,N28XW018A,NASA_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-394.79,-2.51,-511.70,197.90,0.13,-0.11,-481.60,383021
la_palma,N28XW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-394.79,-2.51,-526.36,242.03,0.17,-0.25,-506.37,253061
la_palma,N28UW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-358.97,-489.27,-975.35,104.57,0.83,0.27,-1229.37,253061
la_palma,N28VW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-352.93,-382.20,-862.03,55.18,0.35,-0.13,-877.74,253061
la_palma,N28XW018A,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-361.73,-2.52,-509.24,201.62,0.13,-0.12,-482.03,383021
la_palma,N28XW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-352.38,-2.52,-524.07,245.82,0.18,-0.25,-504.37,253061
la_palma,N28UW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-358.97,-489.27,-975.35,104.57,0.83,0.27,-1229.37,253061
la_palma,N28VW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-352.93,-382.20,-862.03,55.18,0.35,-0.13,-877.74,253061
la_palma,N28XW018A,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-361.73,-2.52,-509.24,201.62,0.13,-0.12,-482.03,383021
la_palma,N28XW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-352.38,-2.52,-524.07,245.82,0.18,-0.25,-504.37,253061
la_palma,N28UW018B,FABDEM,md_dtm-2m_1sec_point,DTM,87.18,-354.23,-481.30,-608.30,33.41,0.18,-0.05,-626.99,141629
la_palma,N28VW018B,FABDEM,md_dtm-2m_1sec_point,DTM,100.00,-355.17,-383.85,-651.33,-34.54,0.14,0.23,-628.85,184003
la_palma,N28XW018A,FABDEM,md_dtm-2m_1sec_point,DTM,91.08,-354.35,-1.19,-350.25,104.35,0.17,0.07,-349.32,323597
la_palma,N28XW018B,FABDEM,md_dtm-2m_1sec_point,DTM,100.00,-354.35,-1.19,-324.01,141.36,0.10,-0.06,-317.65,205467
la_palma,N28UW018B,FABDEM,md_dtm-2m_1sec_point,DSM,87.18,-354.23,-481.30,-608.30,33.41,0.18,-0.05,-626.99,141629
la_palma,N28VW018B,FABDEM,md_dtm-2m_1sec_point,DSM,100.00,-355.17,-383.85,-651.33,-34.54,0.14,0.23,-628.85,184003
la_palma,N28XW018A,FABDEM,md_dtm-2m_1sec_point,DSM,91.08,-354.35,-1.19,-350.25,104.35,0.17,0.07,-349.32,323597
la_palma,N28XW018B,FABDEM,md_dtm-2m_1sec_point,DSM,100.00,-354.35,-1.19,-324.01,141.36,0.10,-0.06,-317.65,205467
