AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,MIN_Diff,Max_DIFF,Mean_Diff,AVG_DIFF,STD_DEV,MEDIAN,RMSE,MAE,N,D_ABS_MED
la_palma,,md_dtm-2m_1sec_point,xxx,xxx,9999.00,-12.66,45.04,0.43,2.56,4.87,-0.23,4.88,2.47,263,1.34
la_palma,,md_dtm-2m_1sec_area,xxx,xxx,9999.00,-7.67,44.98,0.52,2.60,5.01,-0.25,5.02,2.47,258,1.26
la_palma,,md_dtm-2m_1sec_point,xxx,xxx,9999.00,-12.66,45.04,0.43,2.56,4.87,-0.23,4.88,2.47,263,1.34
la_palma,,md_dtm-2m_1sec_area,xxx,xxx,9999.00,-7.67,44.98,0.52,2.60,5.01,-0.25,5.02,2.47,258,1.26
la_palma,,COP,xxx,xxx,9999.00,-12.14,50.56,1.55,3.13,5.88,-0.22,6.08,2.63,549,1.02
la_palma,,SRTM_egm2008,xxx,xxx,9999.00,-3.36,67.76,6.20,5.45,7.79,2.69,9.95,6.29,549,2.73
la_palma,,ALOS_egm2008,xxx,xxx,9999.00,-2.05,53.21,4.79,4.37,5.91,2.25,7.60,4.91,549,2.25
la_palma,,NASA_egm2008,xxx,xxx,9999.00,-3.07,94.27,4.84,4.32,7.38,2.40,8.82,4.95,549,2.43
la_palma,,ASTER_egm2008,xxx,xxx,9999.00,-55.93,80.30,3.01,3.44,7.42,1.82,8.00,3.87,549,1.91
la_palma,,FABDEM,xxx,xxx,9999.00,-6.21,60.37,0.93,2.60,6.32,-0.37,6.38,2.22,549,0.94
