AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,MIN,Max,Mean,STD_DEV,SKEWNESS,KURTOSIS,MEDIAN,N
la_palma,N28UW018B,md_dtm-2m_1sec_point,xxx,xxx,87.18,0.34,234.34,37.05,18.31,1.25,3.92,34.43,112959
la_palma,N28VW018B,md_dtm-2m_1sec_point,xxx,xxx,100.00,0.09,393.99,42.30,34.24,1.76,5.81,31.60,130321
la_palma,N28XW018A,md_dtm-2m_1sec_point,xxx,xxx,91.08,0.23,450.15,47.68,33.50,2.47,10.98,38.56,118156
la_palma,N28XW018B,md_dtm-2m_1sec_point,xxx,xxx,100.00,0.12,520.04,76.72,45.40,1.87,6.28,70.38,130312
la_palma,N28UW018B,md_dtm-2m_1sec_area,xxx,xxx,87.18,0.20,237.94,37.06,18.30,1.25,3.95,34.46,112997
la_palma,N28VW018B,md_dtm-2m_1sec_area,xxx,xxx,100.00,0.05,386.03,42.22,34.13,1.76,5.76,31.60,130321
la_palma,N28XW018A,md_dtm-2m_1sec_area,xxx,xxx,91.08,0.31,465.72,47.69,33.48,2.44,10.69,38.53,118217
la_palma,N28XW018B,md_dtm-2m_1sec_area,xxx,xxx,100.00,1.25,504.61,76.79,45.41,1.87,6.30,70.44,130321
la_palma,N28UW018B,md_dtm-2m_1sec_point,xxx,xxx,87.18,0.34,234.34,37.05,18.31,1.25,3.92,34.43,112959
la_palma,N28VW018B,md_dtm-2m_1sec_point,xxx,xxx,100.00,0.09,393.99,42.30,34.24,1.76,5.81,31.60,130321
la_palma,N28XW018A,md_dtm-2m_1sec_point,xxx,xxx,91.08,0.23,450.15,47.68,33.50,2.47,10.98,38.56,118156
la_palma,N28XW018B,md_dtm-2m_1sec_point,xxx,xxx,100.00,0.12,520.04,76.72,45.40,1.87,6.28,70.38,130312
la_palma,N28UW018B,md_dtm-2m_1sec_area,xxx,xxx,87.18,0.20,237.94,37.06,18.30,1.25,3.95,34.46,112997
la_palma,N28VW018B,md_dtm-2m_1sec_area,xxx,xxx,100.00,0.05,386.03,42.22,34.13,1.76,5.76,31.60,130321
la_palma,N28XW018A,md_dtm-2m_1sec_area,xxx,xxx,91.08,0.31,465.72,47.69,33.48,2.44,10.69,38.53,118217
la_palma,N28XW018B,md_dtm-2m_1sec_area,xxx,xxx,100.00,1.25,504.61,76.79,45.41,1.87,6.30,70.44,130321
la_palma,N28UW018B,COP,md_dtm-2m_1sec_point,DTM,87.18,0.00,235.03,35.20,18.13,1.41,4.83,32.27,143009
la_palma,N28VW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,0.00,310.36,35.68,27.81,1.47,2.80,26.23,184685
la_palma,N28XW018A,COP,md_dtm-2m_1sec_point,DTM,91.08,0.00,339.20,53.80,32.82,1.45,3.68,47.13,324700
la_palma,N28XW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,0.00,315.02,59.69,33.76,1.22,2.78,55.50,206117
la_palma,N28UW018B,COP,md_dtm-2m_1sec_point,DSM,87.18,0.00,235.03,35.20,18.13,1.41,4.83,32.27,143009
la_palma,N28VW018B,COP,md_dtm-2m_1sec_point,DSM,100.00,0.00,310.36,35.68,27.81,1.47,2.80,26.23,184685
la_palma,N28XW018A,COP,md_dtm-2m_1sec_point,DSM,91.08,0.00,339.20,53.80,32.82,1.45,3.68,47.13,324700
la_palma,N28XW018B,COP,md_dtm-2m_1sec_point,DSM,100.00,0.00,315.02,59.69,33.76,1.22,2.78,55.50,206117
la_palma,N28UW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,87.18,0.01,419.94,19.47,21.97,1.46,6.68,16.25,253061
la_palma,N28VW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,100.00,0.01,391.23,24.39,27.24,1.94,6.43,17.36,253061
la_palma,N28XW018A,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,91.08,0.00,443.90,43.17,35.77,1.40,3.51,36.16,383021
la_palma,N28XW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,100.00,0.00,344.04,46.24,38.28,1.13,2.30,40.97,253061
la_palma,N28UW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,87.18,0.01,419.94,19.47,21.97,1.46,6.68,16.25,253061
la_palma,N28VW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,100.00,0.01,391.23,24.39,27.24,1.94,6.43,17.36,253061
la_palma,N28XW018A,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,91.08,0.00,443.90,43.17,35.77,1.40,3.51,36.16,383021
la_palma,N28XW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,100.00,0.00,344.04,46.24,38.28,1.13,2.30,40.97,253061
la_palma,N28UW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,87.18,0.01,238.93,19.95,22.44,1.17,2.07,16.37,253061
la_palma,N28VW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,100.00,0.01,320.41,25.66,28.69,1.76,4.57,17.58,253061
la_palma,N28XW018A,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,91.08,0.00,410.82,48.29,39.75,1.30,3.14,40.93,383021
la_palma,N28XW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,100.00,0.00,389.34,51.79,42.49,1.04,2.04,47.14,253061
la_palma,N28UW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,87.18,0.01,238.93,19.95,22.44,1.17,2.07,16.37,253061
la_palma,N28VW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,100.00,0.01,320.41,25.66,28.69,1.76,4.57,17.58,253061
la_palma,N28XW018A,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,91.08,0.00,410.82,48.29,39.75,1.30,3.14,40.93,383021
la_palma,N28XW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,100.00,0.00,389.34,51.79,42.49,1.04,2.04,47.14,253061
la_palma,N28UW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,87.18,0.01,346.64,19.37,21.69,1.27,3.56,16.26,253061
la_palma,N28VW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,100.00,0.00,353.47,24.31,27.28,2.01,6.94,17.20,253061
la_palma,N28XW018A,NASA_egm2008,md_dtm-2m_1sec_point,DTM,91.08,0.00,785.88,43.36,39.05,3.67,43.67,35.92,383021
la_palma,N28XW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,100.00,0.00,355.13,46.15,38.40,1.17,2.48,40.87,253061
la_palma,N28UW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,87.18,0.01,346.64,19.37,21.69,1.27,3.56,16.26,253061
la_palma,N28VW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,100.00,0.00,353.47,24.31,27.28,2.01,6.94,17.20,253061
la_palma,N28XW018A,NASA_egm2008,md_dtm-2m_1sec_point,DSM,91.08,0.00,785.88,43.36,39.05,3.67,43.67,35.92,383021
la_palma,N28XW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,100.00,0.00,355.13,46.15,38.40,1.17,2.48,40.87,253061
la_palma,N28UW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,87.18,0.01,324.32,19.40,22.15,1.30,3.27,15.58,253061
la_palma,N28VW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,100.00,0.00,323.60,23.89,26.39,1.81,5.02,17.27,253061
la_palma,N28XW018A,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,91.08,0.00,453.01,42.29,35.65,1.40,3.48,35.22,383021
la_palma,N28XW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,100.00,0.00,355.72,45.32,38.03,1.13,2.28,39.65,253061
la_palma,N28UW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,87.18,0.01,324.32,19.40,22.15,1.30,3.27,15.58,253061
la_palma,N28VW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,100.00,0.00,323.60,23.89,26.39,1.81,5.02,17.27,253061
la_palma,N28XW018A,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,91.08,0.00,453.01,42.29,35.65,1.40,3.48,35.22,383021
la_palma,N28XW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,100.00,0.00,355.72,45.32,38.03,1.13,2.28,39.65,253061
la_palma,N28UW018B,FABDEM,md_dtm-2m_1sec_point,DTM,87.18,0.00,235.73,34.70,17.87,1.40,4.77,31.80,142724
la_palma,N28VW018B,FABDEM,md_dtm-2m_1sec_point,DTM,100.00,0.00,378.82,34.79,27.85,1.65,4.27,25.18,184689
la_palma,N28XW018A,FABDEM,md_dtm-2m_1sec_point,DTM,91.08,0.00,362.23,53.13,33.13,1.44,3.44,45.88,324665
la_palma,N28XW018B,FABDEM,md_dtm-2m_1sec_point,DTM,100.00,0.00,362.23,59.30,34.18,1.23,2.83,54.91,206127
la_palma,N28UW018B,FABDEM,md_dtm-2m_1sec_point,DSM,87.18,0.00,235.73,34.70,17.87,1.40,4.77,31.80,142724
la_palma,N28VW018B,FABDEM,md_dtm-2m_1sec_point,DSM,100.00,0.00,378.82,34.79,27.85,1.65,4.27,25.18,184689
la_palma,N28XW018A,FABDEM,md_dtm-2m_1sec_point,DSM,91.08,0.00,362.23,53.13,33.13,1.44,3.44,45.88,324665
la_palma,N28XW018B,FABDEM,md_dtm-2m_1sec_point,DSM,100.00,0.00,362.23,59.30,34.18,1.23,2.83,54.91,206127
