AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,MIN,Max,Mean,STD_DEV,SKEWNESS,KURTOSIS,MEDIAN,N
oxford1,N51XW002C,oxford1_point,xxx,83.53,64.43,142.40,86.49,18.02,0.84,-0.33,80.46,181234
oxford1,N51YW002C,oxford1_point,xxx,83.09,83.51,219.39,135.85,28.54,0.32,-0.87,132.46,180272
oxford1,N51YW002D,oxford1_point,xxx,77.05,68.61,183.93,118.29,21.18,0.34,-0.31,115.43,167164
oxford1,N51XW002C,oxford1_area,xxx,83.53,64.41,142.96,86.44,18.01,0.84,-0.33,80.40,181442
oxford1,N51YW002C,oxford1_area,xxx,83.09,83.47,220.45,135.79,28.55,0.32,-0.87,132.39,180465
oxford1,N51YW002D,oxford1_area,xxx,77.05,68.65,185.89,118.23,21.16,0.34,-0.30,115.37,166913
oxford1,N51XW002C,COP,oxford1_point,83.53,56.44,156.01,80.15,16.80,1.14,0.65,74.67,262447
oxford1,N51YW002C,COP,oxford1_point,83.09,62.62,227.19,125.37,29.08,0.46,-0.33,120.06,262447
oxford1,N51YW002D,COP,oxford1_point,77.05,62.62,195.36,113.32,23.99,0.39,-0.11,110.97,144761
oxford1,N51XW002C,SRTM_egm2008,oxford1_point,83.53,56.55,146.53,80.97,16.72,1.14,0.64,75.60,196745
oxford1,N51YW002C,SRTM_egm2008,oxford1_point,83.09,63.57,218.71,126.23,28.70,0.46,-0.31,120.72,196745
oxford1,N51YW002D,SRTM_egm2008,oxford1_point,77.05,62.56,189.69,114.02,23.43,0.36,-0.19,111.64,108661
oxford1,N51XW002C,ALOS_egm2008,oxford1_area,83.53,7.64,157.53,81.51,16.99,1.13,0.64,75.64,393129
oxford1,N51YW002C,ALOS_egm2008,oxford1_area,83.09,56.58,227.70,127.40,29.05,0.45,-0.34,122.62,393129
oxford1,N51YW002D,ALOS_egm2008,oxford1_area,77.05,42.62,198.69,115.40,24.13,0.37,-0.14,112.68,217322
oxford1,N51XW002C,NASA_egm2008,oxford1_point,83.53,55.55,145.53,80.50,16.74,1.13,0.61,75.52,393129
oxford1,N51YW002C,NASA_egm2008,oxford1_point,83.09,62.57,217.71,125.74,28.63,0.46,-0.32,120.66,393129
oxford1,N51YW002D,NASA_egm2008,oxford1_point,77.05,61.56,188.69,113.62,23.42,0.36,-0.20,111.62,216961
oxford1,N51XW002C,ASTER_egm2008,oxford1_point,83.53,5.60,197.68,79.44,17.69,0.88,0.81,75.56,393129
oxford1,N51YW002C,ASTER_egm2008,oxford1_point,83.09,34.58,246.71,124.07,29.27,0.46,-0.21,119.66,393129
oxford1,N51YW002D,ASTER_egm2008,oxford1_point,77.05,34.58,209.69,113.29,24.59,0.36,-0.01,110.66,216961
oxford1,N51XW002C,FABDEM,oxford1_point,83.53,58.81,143.37,79.50,16.47,1.18,0.76,74.27,393129
oxford1,N51YW002C,FABDEM,oxford1_point,83.09,63.28,222.31,124.14,28.65,0.46,-0.32,118.94,393129
oxford1,N51YW002D,FABDEM,oxford1_point,77.05,63.28,191.55,111.90,23.32,0.36,-0.22,109.76,216961
