AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,MIN_Diff,Max_DIFF,Mean_Diff,AVG_DIFF,STD_DEV,MEDIAN,RMSE,MAE,N,D_ABS_MED
la_palma,,md_dtm-2m_1sec_point,xxx,xxx,9999.00,-18.73,0.12,-8.00,2.61,3.69,-7.67,8.80,8.01,47,7.67
la_palma,,md_dtm-2m_1sec_area,xxx,xxx,9999.00,-17.11,0.27,-7.82,2.52,3.44,-7.36,8.52,7.83,47,7.36
la_palma,,md_dtm-2m_1sec_point,xxx,xxx,9999.00,-18.73,0.12,-8.00,2.61,3.69,-7.67,8.80,8.01,47,7.67
la_palma,,md_dtm-2m_1sec_area,xxx,xxx,9999.00,-17.11,0.27,-7.82,2.52,3.44,-7.36,8.52,7.83,47,7.36
la_palma,,COP,xxx,xxx,9999.00,-67.22,-0.38,-13.26,5.98,10.56,-12.42,16.88,13.26,47,12.42
la_palma,,SRTM_egm2008,xxx,xxx,9999.00,-48.82,16.65,-10.79,7.45,10.96,-11.35,15.30,11.92,47,11.53
la_palma,,ALOS_egm2008,xxx,xxx,9999.00,-62.97,10.56,-4.56,5.74,10.45,-2.90,11.30,6.11,47,3.74
la_palma,,NASA_egm2008,xxx,xxx,9999.00,-61.65,8.88,-13.60,7.08,10.66,-13.73,17.21,14.14,47,13.73
la_palma,,ASTER_egm2008,xxx,xxx,9999.00,-89.20,12.90,-17.47,13.03,18.34,-12.18,25.19,18.08,47,12.77
la_palma,,FABDEM,xxx,xxx,9999.00,-54.63,-0.23,-11.18,4.41,8.04,-9.42,13.72,11.18,47,9.42
