AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,DIFF_MIN,DIFF_Max,DIFF_Mean,DIFF_STDEV,DIFF_SKEW,DIFF_KURT,DIFF_MED,N
oxford1,N51XW002C,COP,oxford1_point,DTM,83.53,-12.17,-27.92,-38.15,-4.37,0.81,0.95,-40.76,262447
oxford1,N51YW002C,COP,oxford1_point,DTM,83.09,-5.99,43.26,7.07,7.91,0.12,-0.03,4.63,262447
oxford1,N51YW002D,COP,oxford1_point,DTM,77.05,-5.99,11.43,-4.97,2.81,0.05,0.20,-4.46,144761
oxford1,N51XW002C,SRTM_egm2008,oxford1_point,DTM,83.53,-12.06,-37.39,-37.32,-4.46,0.80,0.94,-39.83,196745
oxford1,N51YW002C,SRTM_egm2008,oxford1_point,DTM,83.09,-5.04,34.78,7.93,7.53,0.13,-0.01,5.29,196745
oxford1,N51YW002D,SRTM_egm2008,oxford1_point,DTM,77.05,-6.05,5.76,-4.27,2.26,0.02,0.12,-3.79,108661
oxford1,N51XW002C,ALOS_egm2008,oxford1_area,DTM,83.53,-61.01,-28.35,-36.72,-4.17,0.79,0.94,-39.74,393129
oxford1,N51YW002C,ALOS_egm2008,oxford1_area,DTM,83.09,-12.07,41.81,9.17,7.89,0.11,-0.04,7.24,393129
oxford1,N51YW002D,ALOS_egm2008,oxford1_area,DTM,77.05,-26.02,12.80,-2.82,2.97,0.03,0.16,-2.70,217322
oxford1,N51XW002C,NASA_egm2008,oxford1_point,DTM,83.53,-13.06,-38.39,-37.79,-4.44,0.79,0.92,-39.91,393129
oxford1,N51YW002C,NASA_egm2008,oxford1_point,DTM,83.09,-6.03,33.78,7.45,7.46,0.12,-0.01,5.22,393129
oxford1,N51YW002D,NASA_egm2008,oxford1_point,DTM,77.05,-7.05,4.76,-4.68,2.25,0.02,0.11,-3.81,216961
oxford1,N51XW002C,ASTER_egm2008,oxford1_point,DTM,83.53,-63.01,13.76,-38.85,-3.49,0.54,1.11,-39.87,393129
oxford1,N51YW002C,ASTER_egm2008,oxford1_point,DTM,83.09,-34.03,62.78,5.77,8.10,0.12,0.10,4.23,393129
oxford1,N51YW002D,ASTER_egm2008,oxford1_point,DTM,77.05,-34.03,25.76,-5.01,3.41,0.02,0.30,-4.77,216961
oxford1,N51XW002C,FABDEM,oxford1_point,DTM,83.53,-9.80,-40.56,-38.80,-4.71,0.84,1.06,-41.16,393129
oxford1,N51YW002C,FABDEM,oxford1_point,DTM,83.09,-5.33,38.38,5.84,7.48,0.13,-0.01,3.51,393129
oxford1,N51YW002D,FABDEM,oxford1_point,DTM,77.05,-5.33,7.62,-6.40,2.15,0.02,0.09,-5.67,216961
