AREA,DEMIX_TILE,LAT,LONG,AVG_ELEV,AVG_SLOPE,AVG_ROUGH,RELIEF,FOREST_PC,URBAN_PC,REF_TYPE,LAND_TYPE,SLOPE_PC,REC_ID,BEST_DEM,FABDEM_SCR,COP_SCR,ALOS_SCR,NASA_SCR,SRTM_SCR,ASTER_SCR,CRITERION,FABDEM,COP,ALOS,NASA,SRTM,ASTER
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,4055,ALOS,6,3,1,5,4,2,ELD_AVG,12.5,12,7.93,12.23,12.03,11.57
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,4056,ALOS,5,3,1,6,4,2,ELD_STD,15.8,14.97,9.81,15.92,15.67,14.62
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,4057,ALOS,2,3.5,1,6,5,3.5,ELD_RMSE,16.52,19.95,16.15,22.77,20.53,19.96
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,4058,FABDEM,1,4,2,6,5,3,ELD_MAE,12.84,15.84,13.26,18.35,16.01,15.73
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,4059,ALOS,2,4,1,6,5,3,ELD_LE90,27.33,33.45,26.7,37.27,33.84,33.24
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,9230,ALOS,2,3,1,4,5,6,SMD_AVG,9.42,9.81,7.72,10.56,10.65,11.56
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,9231,ALOS,2,3,1,4,5,6,SMD_STD,13.49,13.76,10.81,14.68,14.84,15.65
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,9232,ALOS,2,3,1,4,5,6,SMD_RMSE,13.59,13.78,10.83,14.92,15.04,15.8
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,9233,ALOS,2,3,1,4,5,6,SMD_MAE,9.43,9.8,7.73,10.59,10.68,11.55
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,9234,ALOS,2,3,1,4,5,6,SMD_LE90,21.13,21.99,17.61,23.32,23.48,25.16
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,14405,FABDEM,1,2,3,4,5,6,RUFD_AVG,2.89,2.96,3,3.36,3.42,3.85
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,14406,COP,2,1,3,4,5,6,RUFD_STD,4.09,4.08,4.12,4.65,4.8,5.27
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,14407,COP,2,1,3,4,5,6,RUFD_RMSE,4.11,4.09,4.29,4.65,4.81,5.42
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,14408,FABDEM,1,2,3,4,5,6,RUFD_MAE,2.91,2.97,3.07,3.36,3.43,4.02
italy,N46PE010J,46.15,10.75,1398.12,56.97,11.2,2126.06,79.07,3.15,DTM,ALL,100,14409,FABDEM,1,2,3,4,5,6,RUFD_LE90,6.39,6.53,7.03,7.32,7.44,8.62
